PerformanceToSalary,MonthlyIncome,EngagementScore,Age,OverTime,DistanceFromHome,ExperiencePerformance,TotalWorkingYears,YearsAtCompany,NumCompaniesWorked,PercentSalaryHike,PromotionGapRatio,JobRole,StockOptionLevel,YearsWithCurrManager,Attrition
0.0007477567298105683,4011,3.0,24,0,11,15,5,4,0,18,0.16666666666666666,4,1,3.0,0
0.0011737089201877935,3407,2.0,36,0,9,40,10,5,7,23,0.0,8,0,3.0,1
0.00025010421008753647,11994,2.25,34,0,7,39,13,12,0,11,0.14285714285714285,5,0,11.0,0
0.0024330900243309003,1232,3.5,21,0,15,0,0,0,1,14,0.0,6,0,0.0,0
0.0010131712259371835,2960,2.25,34,0,6,24,8,4,2,11,0.1111111111111111,6,0,3.0,1
0.00015710919088766692,19094,3.25,53,0,5,78,26,14,4,11,0.14814814814814814,3,1,8.0,0
0.0010204081632653062,3919,1.5,32,1,16,40,10,10,1,22,0.5454545454545454,6,0,7.0,1
0.00043949604453559916,6825,3.0,42,0,8,30,10,9,0,11,0.36363636363636365,7,1,2.0,0
0.0002927114840472241,10248,2.75,44,0,7,72,24,22,3,14,0.2,0,1,14.5,0
0.00015832805573147562,18947,2.5,46,0,2,66,22,2,3,12,0.08695652173913043,3,0,1.0,0
0.0012014417300760913,2496,3.5,33,0,2,21,7,1,4,11,0.0,2,0,0.0,0
0.00046396535725332506,6465,3.75,44,1,10,27,9,4,2,13,0.1,0,0,3.0,0
0.001359311282283643,2206,2.5,30,0,9,30,10,10,1,13,0.09090909090909091,2,0,8.0,0
0.0014374700527072352,2086,3.5,39,0,5,57,19,1,3,14,0.0,8,1,0.0,1
0.0013077593722755014,2293,2.5,24,1,1,18,6,2,2,16,0.2857142857142857,6,1,0.0,1
0.0011337868480725624,2645,3.75,43,0,2,18,6,5,1,12,0.14285714285714285,6,2,4.0,0
0.0011177347242921013,2683,2.25,50,1,3,9,3,3,1,14,0.0,8,0,2.0,1
0.001488833746898263,2014,3.0,35,0,2,6,2,2,1,13,0.6666666666666666,8,0,2.0,0
0.0008771929824561404,3419,2.25,36,1,5,18,6,1,9,14,0.0,6,1,0.0,0
0.0005579319323042589,5376,2.25,33,0,1,30,10,5,2,19,0.09090909090909091,7,2,3.0,0
0.0015368852459016393,1951,3.25,35,0,4,3,1,1,1,12,0.0,2,1,0.0,0
0.0012809564474807857,2341,3.0,27,0,2,3,1,1,1,13,0.0,2,1,0.0,0
0.0013077593722755014,2293,2.0,26,0,25,3,1,1,1,12,0.0,2,0,1.0,1
0.00034376074252320387,8726,3.5,27,0,8,27,9,9,1,15,0.1,7,0,7.0,0
0.0009970089730807576,4011,3.5,30,0,1,48,12,12,1,23,0.23076923076923078,2,0,7.0,0
0.00015348408881612607,19545,3.0,41,0,12,69,23,22,1,12,0.625,5,0,8.0,1
0.0008754650908295032,4568,2.75,34,0,23,40,10,9,0,20,0.7272727272727273,7,0,7.0,0
0.0013231888852133643,3022,2.0,37,0,19,32,8,1,4,21,0.0,6,0,0.0,0
0.0006928806513078123,5772,2.75,46,1,5,56,14,9,4,21,0.0,7,0,8.0,0
0.0013215859030837004,2269,4.0,35,0,8,3,1,1,1,19,0.0,2,0,1.0,0
0.0005574136008918618,5381,2.5,48,1,1,69,23,1,9,13,0.0,2,0,0.0,1
0.0008715862870424172,3441,3.0,28,1,5,6,2,2,1,13,0.6666666666666666,2,0,2.0,1
0.0007332722273143905,5454,2.25,44,1,1,36,9,4,5,21,0.1,7,1,3.0,0
0.00030349013657056146,9884,2.25,35,1,11,30,10,4,2,13,0.18181818181818182,0,1,3.0,0
0.0007215007215007215,4157,3.0,26,1,23,15,5,2,7,19,0.0,7,1,0.0,0
0.00022289917527305148,13458,2.75,33,1,1,45,15,15,1,12,0.5,5,0,12.0,0
0.0004410143329658214,9069,2.5,35,0,18,36,9,9,1,22,0.1,7,1,8.0,0
0.0007471980074719801,4014,2.5,35,1,23,12,4,2,3,15,0.4,2,1,2.0,0
0.000676132521974307,5915,3.75,31,0,7,40,10,7,3,22,0.09090909090909091,2,1,7.0,0
0.0005005005005005005,5993,2.25,37,0,1,21,7,7,1,18,0.0,4,1,7.0,0
0.0006490345610903781,6162,2.5,32,1,1,36,9,9,1,22,0.7,4,1,8.0,0
0.0012463647694225177,2406,3.75,38,0,29,30,10,10,1,11,0.8181818181818182,2,0,9.0,0
0.00016007683688170322,18740,2.75,50,1,7,87,29,27,5,12,0.43333333333333335,5,1,8.0,0
0.00039277297721916735,7637,2.25,59,0,25,84,28,21,7,11,0.2413793103448276,7,0,9.0,0
0.0002971179558284639,10096,2.75,36,0,8,51,17,17,1,13,0.6666666666666666,0,3,8.0,0
0.00020329335230737954,14756,3.25,55,1,8,63,21,5,2,14,0.0,3,3,2.0,0
0.00046153846153846153,6499,2.25,36,0,11,18,6,6,1,13,0.0,4,0,3.0,0
0.0003084832904884319,9724,2.25,45,0,7,75,25,1,2,17,0.0,6,1,0.0,0
0.001366742596810934,2194,2.5,35,0,1,15,5,3,4,13,0.16666666666666666,6,1,2.0,0
0.0008852168781351431,3388,2.5,36,1,9,6,2,1,0,17,0.0,6,1,0.0,1
0.0005480453050785532,5473,2.5,59,0,1,60,20,4,7,11,0.047619047619047616,7,0,3.0,0
0.0014792899408284023,2703,3.0,29,0,2,24,6,5,0,23,0.0,6,1,4.0,0
0.001199040767386091,2501,2.5,31,0,1,3,1,1,1,17,0.5,6,0,0.0,0
0.00048223758238225364,6220,2.25,32,0,1,30,10,10,1,17,0.0,6,2,9.0,0
0.0009871668311944718,3038,3.0,36,0,6,15,5,1,3,12,0.0,2,0,0.0,0
0.000903954802259887,4424,3.5,31,0,8,44,11,11,1,23,0.08333333333333333,4,0,8.0,0
0.0006955715279387897,4312,2.0,35,0,1,48,16,15,0,14,0.11764705882352941,7,0,8.0,0
0.0002264834667069304,13245,2.5,45,1,6,51,17,0,4,14,0.0,5,0,0.0,0
0.0002195389681668496,13664,2.0,37,0,7,48,16,5,4,13,0.0,5,0,2.0,0
0.0007964954201513341,5021,2.75,46,1,5,64,16,4,8,22,0.0,1,1,2.0,0
0.0005851375073142189,5126,3.25,30,1,1,30,10,10,1,12,0.2727272727272727,2,2,0.0,0
0.001048951048951049,2859,2.0,35,0,1,18,6,6,1,18,0.0,6,0,4.0,0
0.00029296875,10239,3.0,55,0,1,72,24,1,3,14,0.04,7,1,0.0,0
0.0005628517823639775,5329,2.75,38,1,6,51,17,13,7,12,0.05555555555555555,6,3,9.0,0
0.0006934812760055479,4325,2.25,34,0,1,15,5,5,1,15,0.16666666666666666,4,0,3.0,0
0.0004131662305467566,7260,2.5,56,0,7,111,37,6,4,11,0.0,4,0,2.0,0
0.0012914334911752045,2322,2.5,23,0,2,9,3,0,3,13,0.0,8,1,0.0,0
0.0019267822736030828,2075,3.25,51,0,9,40,10,4,3,23,0.0,2,2,3.0,0
0.0007223693715386468,4152,2.5,30,0,2,33,11,11,1,19,0.8333333333333334,0,3,8.0,0
0.00031185031185031187,9619,3.25,46,0,9,27,9,9,1,16,0.4,7,0,7.0,1
0.0002962085308056872,13503,2.75,40,0,1,88,22,22,1,22,0.4782608695652174,0,1,11.0,0
0.000735023888276369,5441,3.5,51,1,21,44,11,10,0,22,0.08333333333333333,7,0,0.0,0
0.0005758157389635317,5209,2.25,30,1,4,33,11,11,1,12,0.16666666666666666,7,3,7.0,0
0.0002810567734682406,10673,2.25,46,1,1,63,21,10,2,13,0.4090909090909091,0,1,5.0,0
0.0005986828976252245,5010,2.25,32,0,6,36,12,11,1,16,0.38461538461538464,7,0,7.0,0
0.00022140221402214023,13549,2.0,54,0,2,48,16,4,9,12,0.0,5,1,3.0,0
0.0008,4999,2.0,24,0,3,16,4,3,0,21,0.0,7,1,2.0,0
0.0007105637138796779,4221,2.5,28,0,4,15,5,5,1,15,0.0,7,0,4.0,0
0.0002162473870107403,13872,3.25,58,0,10,114,38,37,0,13,0.02564102564102564,7,0,8.0,0
0.0014684287812041115,2042,2.5,44,0,23,51,17,3,4,12,0.05555555555555555,2,1,2.0,0
0.0019286403085824494,2073,2.75,37,1,6,28,7,3,4,22,0.0,1,0,2.0,1
0.0010145417653026716,2956,3.0,32,0,1,3,1,1,1,13,0.0,6,0,0.0,0
0.0010249402118209772,2926,3.0,20,1,6,3,1,1,1,18,0.5,2,0,0.0,1
0.0006237006237006237,4809,2.5,34,0,6,48,16,16,1,14,0.11764705882352941,6,0,10.0,0
0.0005809450038729666,5163,3.25,37,0,2,51,17,1,5,14,0.0,0,1,0.0,0
0.0002122578933404086,18844,3.25,59,0,2,120,30,3,9,21,0.06451612903225806,3,1,2.0,0
0.00016508006383095803,18172,1.75,50,1,1,84,28,8,3,19,0.0,5,0,7.0,0
0.0005221932114882506,5744,3.0,25,1,5,18,6,6,1,11,0.0,7,0,3.0,1
0.0010380622837370243,2889,3.25,25,0,7,6,2,2,1,11,0.6666666666666666,6,2,1.0,0
0.0010445682451253482,2871,3.0,22,0,15,3,1,0,1,15,0.0,2,0,0.0,0
0.0005344021376085504,7484,1.75,51,0,1,92,23,13,3,20,0.5,0,0,8.0,0
0.0006584362139917696,6074,2.25,34,1,7,36,9,9,1,24,0.0,2,0,6.0,1
0.000173120203127705,17328,3.75,54,1,26,69,23,5,2,12,0.16666666666666666,3,0,4.0,0
0.001081081081081081,2774,2.75,24,0,18,18,6,5,0,12,0.14285714285714285,2,1,2.0,0
0.0006657789613848203,4505,2.5,34,0,6,36,12,1,6,15,0.0,6,1,0.0,0
0.00040382285637367073,7428,2.75,37,0,3,36,12,5,2,12,0.07692307692307693,7,0,3.0,0
0.00025790921595598347,11631,2.5,34,0,5,42,14,11,2,12,0.3333333333333333,3,0,8.0,0
0.0003080398398192833,9738,3.0,36,0,11,30,10,9,0,14,0.18181818181818182,7,1,8.0,0
0.0014104372355430183,2835,2.25,36,0,3,28,7,1,5,22,0.0,2,1,0.0,0
0.00017688679245283018,16959,3.5,43,1,26,75,25,25,1,12,0.15384615384615385,3,2,12.0,0
0.001530221882172915,2613,2.0,30,0,23,40,10,10,1,25,0.0,6,3,9.0,0
0.0004880429477794046,6146,2.25,33,0,22,24,8,7,0,13,0.0,7,1,7.0,0
0.0006043513295729251,4963,2.0,56,1,14,21,7,5,9,18,0.5,6,3,3.0,1
0.00015354693417954756,19537,2.5,51,0,6,69,23,20,7,13,0.625,5,0,14.5,0
0.0004859873643285275,6172,2.0,31,1,6,36,12,7,4,18,0.5384615384615384,7,0,7.0,1
0.001266357112705783,2368,2.5,26,0,6,15,5,5,1,19,0.6666666666666666,6,0,3.0,0
0.0002908949869097256,10312,3.75,58,0,23,120,40,40,1,12,0.36585365853658536,0,1,6.0,1
0.0017899761336515514,1675,3.5,19,1,22,0,0,0,1,19,0.0,8,0,0.0,1
0.0011885895404120444,2523,3.25,22,0,2,9,3,2,0,14,0.5,2,1,1.0,0
0.00045676004872107184,6567,2.5,49,0,20,48,16,15,1,14,0.29411764705882354,4,0,11.0,0
0.0006329113924050633,4739,3.25,43,0,28,54,18,3,4,12,0.05263157894736842,6,0,2.0,0
0.0003257682701704854,9208,3.5,50,0,12,48,16,2,4,11,0.11764705882352941,7,0,1.0,0
0.0006578947368421052,4559,2.25,31,1,20,12,4,2,3,11,0.4,7,1,2.0,1
0.0003663003663003663,8189,3.0,41,1,9,36,12,9,3,13,0.0,7,1,7.0,0
0.0013591573224600749,2942,3.25,26,0,25,32,8,8,1,23,0.5555555555555556,1,1,7.0,0
0.0008093889113719142,4941,2.75,36,0,6,28,7,3,6,20,0.0,4,2,1.0,0
0.0002816636935499014,10650,2.5,51,0,8,54,18,4,2,15,0.0,4,0,3.0,1
0.0005082161612739285,5902,3.0,39,0,4,51,17,15,4,14,0.2777777777777778,7,1,9.0,0
0.00034722222222222224,8639,2.5,25,0,28,18,6,2,2,18,0.2857142857142857,7,0,2.0,0
0.0004725897920604915,6347,3.5,30,1,9,36,12,11,0,19,0.3076923076923077,1,0,7.0,0
0.0009521542489883361,4200,1.5,32,0,9,40,10,5,7,22,0.0,2,0,4.0,1
0.0008688097306689834,3452,3.0,45,0,29,27,9,6,5,13,0.0,6,0,3.0,0
0.0009263547938860583,4317,3.0,38,1,3,76,19,3,3,20,0.1,6,0,2.0,0
0.001139384732244588,2632,2.5,30,0,18,15,5,5,1,14,0.0,6,0,4.0,0
0.000642535874919683,4668,3.25,32,0,9,27,9,8,0,17,0.0,7,3,7.0,0
0.00093603744149766,3204,3.0,30,0,5,24,8,3,5,14,0.2222222222222222,6,1,2.0,0
0.0011025358324145535,2720,3.0,30,0,2,18,6,5,0,13,0.14285714285714285,2,0,2.0,0
0.00017460132697008496,17181,2.25,41,0,10,63,21,7,4,13,0.3181818181818182,3,1,7.0,0
0.001786511835640911,2238,2.75,41,0,9,28,7,5,2,21,0.125,2,1,4.0,0
0.0020215633423180594,1483,2.75,19,0,3,3,1,1,1,14,0.0,2,0,0.0,0
0.0005351409204423831,5605,2.0,40,0,26,60,20,20,1,11,0.09523809523809523,6,1,13.0,0
0.00041118421052631577,7295,2.25,35,0,1,30,10,10,1,13,0.0,7,2,6.0,0
0.0017338534893801473,2306,3.0,53,1,6,52,13,7,2,20,0.2857142857142857,8,1,5.0,0
0.001277139208173691,2348,2.5,45,0,9,60,20,17,8,18,0.0,2,1,14.5,0
0.000333370374486054,8998,3.25,32,0,8,27,9,9,1,14,0.3,7,0,7.0,0
0.0006944444444444445,4319,2.75,29,0,1,30,10,10,1,13,0.0,4,1,9.0,0
0.0004891570194032284,6132,2.5,51,0,7,30,10,1,2,17,0.0,4,0,0.0,0
0.0011951000896325067,3346,2.0,58,1,9,36,9,1,4,20,0.0,6,1,0.0,0
0.0002763448784082535,10855,2.5,40,0,4,45,15,12,7,11,0.125,7,1,11.0,0
0.0013440860215053765,2231,3.25,34,0,2,18,6,4,6,18,0.14285714285714285,8,1,2.0,0
0.0017211703958691911,2323,2.75,22,0,19,8,2,2,1,24,0.6666666666666666,6,2,2.0,0
0.0014814814814814814,2024,3.25,27,0,9,18,6,2,6,18,0.2857142857142857,6,1,2.0,0
0.001105379513633014,2713,3.25,28,0,21,15,5,5,1,11,0.0,6,1,2.0,0
0.0003177966101694915,9439,3.25,57,1,24,36,12,5,3,16,0.07692307692307693,0,1,4.0,0
0.001168679392286716,2566,3.0,27,1,3,3,1,1,1,15,0.0,6,1,1.0,0
0.00015054950569578964,19926,2.5,50,0,11,63,21,5,3,15,0.18181818181818182,3,0,4.0,0
0.0012234910277324632,2451,2.0,41,0,14,39,13,9,4,12,0.07142857142857142,6,1,8.0,0
0.0003184713375796178,9419,3.0,30,0,5,36,12,10,2,12,0.5384615384615384,7,1,4.0,0
0.0004604581558650858,8686,2.5,38,0,1,48,12,8,4,22,0.0,7,0,7.0,0
0.0013162224415926291,3038,2.5,32,0,6,32,8,5,3,20,0.1111111111111111,6,0,4.0,0
0.0009807126511932004,3058,3.0,27,1,17,18,6,5,0,16,0.14285714285714285,6,1,1.0,0
0.0017196904557179708,2325,1.5,19,0,1,4,1,0,0,21,0.0,8,0,0.0,1
0.0014360938247965534,2088,3.0,36,0,3,39,13,8,4,12,0.5,2,0,2.0,0
0.0009762447120078099,3072,2.5,30,0,9,36,12,12,1,11,0.46153846153846156,2,2,10.0,0
0.0005991611743559018,5006,2.0,45,1,4,27,9,5,4,11,0.0,7,1,3.0,0
0.0007045561296383278,4257,2.5,56,1,8,57,19,2,4,18,0.1,6,1,2.0,0
0.0011995201919232307,2500,2.75,33,0,2,12,4,3,0,14,0.0,6,0,2.0,0
0.003626473254759746,1102,2.75,19,0,2,4,1,1,1,22,0.5,2,0,0.0,1
0.0003826286588865506,10453,2.25,46,0,1,96,24,24,1,25,0.6,7,3,7.0,0
0.001310615989515072,2288,3.25,38,0,9,6,2,2,1,12,0.6666666666666666,2,0,1.0,0
0.0010178117048346056,3929,3.25,31,1,12,28,7,4,8,23,0.0,6,1,2.0,0
0.0012975778546712802,2311,3.25,34,0,27,27,9,3,2,15,0.1,6,0,2.0,0
0.0012734797835084368,3140,2.75,41,1,20,16,4,4,1,22,0.0,8,0,2.0,1
0.000812787862367922,3690,3.0,50,0,1,15,5,3,2,15,0.0,2,1,2.0,0
0.0006740058413839587,4450,3.0,53,0,13,15,5,4,1,11,0.16666666666666666,4,2,3.0,0
0.001088139281828074,2756,3.25,33,0,14,24,8,8,1,13,0.1111111111111111,6,1,6.0,0
0.00015761269307554903,19033,3.0,40,0,4,63,21,20,1,14,0.4090909090909091,3,1,9.0,0
0.0001602307322544464,18722,3.25,55,0,14,108,36,24,8,11,0.05405405405405406,5,0,14.5,0
0.0003142019271051529,9547,3.0,34,0,2,30,10,10,1,17,0.09090909090909091,4,0,9.0,0
0.0002184200946487077,13734,3.0,51,0,3,63,21,7,3,18,0.045454545454545456,0,0,0.0,0
0.00015,19999,2.25,52,0,1,102,34,33,0,14,0.3142857142857143,3,1,9.0,0
0.0013157894736842105,2279,3.25,27,0,9,21,7,7,1,16,0.0,6,0,3.0,0
0.000507013689369613,5916,2.0,35,1,23,24,8,1,3,13,0.0,4,0,1.0,1
0.0014354066985645933,2089,4.0,43,0,7,21,7,5,4,14,0.25,6,3,2.0,0
0.0002381944857976538,16792,2.75,45,0,2,88,22,20,9,23,0.4782608695652174,3,1,8.0,0
0.0008415147265077139,3564,2.0,37,1,21,24,8,8,1,12,0.1111111111111111,6,1,7.0,0
0.0006778129236330773,4425,2.75,35,0,2,30,10,6,5,11,0.09090909090909091,2,0,2.0,0
0.000569692366122294,5265,2.75,42,0,21,33,11,5,2,16,0.0,4,1,2.0,0
0.00045773573390296,6553,3.0,38,0,2,42,14,1,9,14,0.0,4,0,0.0,0
0.0004790801660811242,6261,3.0,38,0,29,27,9,7,3,18,0.1,4,1,7.0,0
0.0006978367062107466,4298,2.25,27,0,1,18,6,2,5,19,0.2857142857142857,4,1,0.0,0
0.000440852314474651,6804,3.0,49,1,18,21,7,7,1,15,0.125,4,2,7.0,0
0.0007861635220125787,3815,3.5,34,1,10,15,5,5,1,17,0.3333333333333333,6,1,0.0,0
0.0010940919037199124,2741,3.25,40,1,19,45,15,7,8,15,0.1875,2,1,7.0,0
0.0004495055439017081,6673,2.0,38,1,29,51,17,1,7,19,0.0,0,0,0.0,1
0.0005235602094240838,7639,3.25,29,0,27,40,10,10,1,22,0.09090909090909091,7,3,9.0,1
0.0012881064834693002,2328,2.75,22,1,5,12,4,4,1,16,0.4,6,1,2.0,0
0.001392757660167131,2153,2.5,36,0,18,24,8,8,1,13,0.1111111111111111,2,0,7.0,0
0.0006151322534344885,4876,3.5,40,0,9,15,5,3,9,14,0.0,0,1,2.0,0
0.00031925082473129723,9396,2.75,46,0,1,51,17,4,7,16,0.0,0,1,3.0,0
0.00028843380444188056,10400,3.0,32,0,4,42,14,14,1,11,0.6,7,0,8.0,1
0.00047197640117994103,8474,2.75,30,0,1,48,12,11,1,22,0.38461538461538464,4,0,8.0,0
0.00030054097375275494,9981,3.5,27,0,20,21,7,7,1,14,0.0,7,0,7.0,0
0.00024017292450564405,12490,2.5,51,0,8,48,16,10,5,16,0.23529411764705882,5,2,7.0,0
0.001128668171557562,2657,2.75,30,1,3,24,8,5,5,11,0.0,6,0,4.0,1
0.00022071806945261918,13591,3.5,41,1,6,48,16,1,3,18,0.0,3,0,0.0,0
0.0004479617739286248,6696,2.25,30,0,26,27,9,6,5,15,0.0,7,0,1.0,1
0.0014570179698882952,2058,3.25,29,0,1,21,7,6,0,14,0.125,6,0,5.0,1
0.0003383713061132416,8865,3.5,45,0,6,69,23,19,6,12,0.5,7,0,8.0,0
0.000504965494024575,5940,3.0,54,0,3,48,16,6,2,14,0.0,7,1,5.0,0
0.0005071851225697379,5914,3.25,36,0,5,48,16,13,8,16,0.17647058823529413,2,0,7.0,0
0.0015249714067861228,2622,2.75,33,0,4,28,7,3,6,21,0.125,6,0,1.0,0
0.0002461841457410143,12185,3.0,37,1,11,30,10,10,1,14,0.0,5,3,7.0,0
0.0002827521206409048,10609,2.5,38,0,3,51,17,16,0,12,0.2777777777777778,7,2,13.0,0
0.0006902899217671422,4345,2.75,31,0,1,18,6,5,0,12,0.14285714285714285,4,1,4.0,0
0.0013774104683195593,2177,2.5,59,0,3,21,7,1,3,17,0.0,6,1,0.0,0
0.0010737294201861132,2793,2.75,37,0,4,39,13,9,4,17,0.35714285714285715,8,1,8.0,0
0.00037883571157974494,7918,3.25,29,0,1,33,11,11,1,14,0.3333333333333333,7,1,1.0,0
0.00034129692832764505,8789,2.5,35,0,1,30,10,10,1,14,0.0,7,0,8.0,0
0.0012552301255230125,2389,3.0,29,1,18,12,4,4,1,13,0.0,6,0,1.0,1
0.0009337068160597573,3212,2.75,52,0,2,18,6,2,7,15,0.2857142857142857,2,0,2.0,0
0.00015598190609889253,19232,3.5,42,0,4,66,22,22,1,11,0.4782608695652174,3,0,14.5,0
0.0013227513227513227,2267,3.0,59,0,6,21,7,2,8,17,0.25,1,0,2.0,0
0.0001537042729787888,19517,3.5,50,0,1,96,32,7,3,11,0.0,3,1,6.0,0
0.0012310217480508822,2436,3.25,33,1,14,24,8,5,5,13,0.0,2,1,4.0,1
0.00024898848428260193,16064,3.5,43,1,16,88,22,17,5,22,0.043478260869565216,3,1,9.0,0
0.0014771048744460858,2707,1.5,33,0,2,52,13,9,7,20,0.07142857142857142,2,0,7.0,1
0.00015732340447847292,19068,2.5,52,1,2,99,33,33,1,18,0.4411764705882353,3,0,12.0,0
0.000762970498474059,3931,2.25,32,0,4,18,6,4,2,11,0.14285714285714285,8,1,2.0,0
0.0008040739748056821,3730,3.25,32,1,1,12,4,3,0,14,0.2,2,0,2.0,1
0.0013434841021047917,2232,3.0,39,0,1,21,7,3,7,14,0.125,2,3,2.0,0
0.0006717420510523958,4465,2.75,32,0,26,12,4,3,0,18,0.4,7,0,2.0,0
0.0009762447120078099,3072,2.0,41,0,19,51,17,1,2,16,0.0,6,2,0.0,0
0.0009036144578313253,3319,2.25,40,0,24,27,9,9,1,17,0.4,6,2,7.0,0
0.0001562255897516013,19202,3.5,45,0,1,75,25,24,0,11,0.038461538461538464,3,1,7.0,0
0.0002193623866627669,13675,2.25,31,0,3,27,9,2,9,12,0.2,5,1,2.0,0
0.0010302197802197802,2911,3.0,33,0,5,6,2,2,1,13,0.0,6,1,2.0,0
0.0005035246727089627,5957,2.25,34,0,2,39,13,11,6,13,0.35714285714285715,4,1,9.0,0
0.0007651109410864575,3920,1.75,37,0,1,51,17,3,2,14,0.0,6,1,2.0,0
0.0004662004662004662,6434,3.0,45,0,7,27,9,3,4,17,0.0,4,1,2.0,0
0.00029853716787740076,10048,2.25,37,0,10,51,17,1,6,11,0.0,4,2,0.0,1
0.0003656641374897157,10938,3.25,39,0,2,80,20,19,0,25,0.5238095238095238,0,0,8.0,0
0.0012815036309269544,2340,2.75,29,0,15,18,6,6,1,19,0.14285714285714285,6,0,5.0,0
0.00045829514207149406,6545,3.0,42,1,17,30,10,3,3,13,0.0,6,0,2.0,0
0.00043277553375649163,6931,3.75,29,0,20,30,10,3,2,14,0.0,7,1,2.0,0
0.000612369871402327,4898,2.75,25,0,1,15,5,4,0,12,0.16666666666666666,4,2,2.0,0
0.001156515034695451,2593,2.5,42,1,2,30,10,9,0,11,0.6363636363636364,2,1,8.0,0
0.0001543448062972681,19436,2.75,40,0,2,66,22,21,0,19,0.13043478260869565,5,1,9.0,0
0.0011013215859030838,2723,3.0,51,0,1,3,1,1,1,11,0.0,6,0,0.0,0
0.0008620689655172414,3479,2.25,31,0,29,18,6,5,0,11,0.14285714285714285,2,0,4.0,1
0.0014311270125223613,2794,2.75,32,0,7,20,5,5,1,20,0.0,2,0,3.0,0
0.0005714285714285715,5249,3.5,38,0,2,39,13,8,3,18,0.5,7,1,5.0,0
0.0013780431786862655,2176,2.75,32,0,2,27,9,6,4,13,0.0,2,0,4.0,0
0.00017779885023410183,16872,2.0,46,1,2,84,28,7,3,12,0.2413793103448276,3,1,7.0,0
0.0008605851979345956,3485,2.5,28,0,2,15,5,0,2,11,0.0,2,0,0.0,1
0.0004514672686230248,6644,1.75,29,0,2,30,10,0,2,19,0.0,7,2,0.0,0
0.0007164606842199534,5582,2.5,31,0,23,40,10,9,0,21,0.6363636363636364,0,1,8.0,0
0.0007498125468632841,4000,2.75,25,0,5,18,6,6,1,12,0.14285714285714285,0,2,5.0,0
0.0002222716159146477,13496,3.0,45,1,20,63,21,20,0,14,0.18181818181818182,0,0,10.0,0
0.0009342883836810962,3210,3.5,36,0,6,48,16,15,0,11,0.5882352941176471,2,1,11.0,0
0.00015751338863803424,19045,2.75,55,1,1,111,37,36,0,14,0.10526315789473684,3,0,13.0,0
0.00025316455696202533,11849,2.5,47,1,29,30,10,10,1,12,0.8181818181818182,3,1,9.0,1
0.001931434089811685,2070,3.75,28,0,9,20,5,5,1,23,0.0,6,1,4.0,0
0.0004613255420575119,6502,3.0,37,0,6,21,7,5,4,14,0.0,7,1,1.0,0
0.0009285051067780873,3230,2.5,21,0,3,9,3,3,1,17,0.25,6,0,0.0,0
0.00022052337547780066,13603,2.25,37,1,1,45,15,5,2,18,0.0,5,2,2.0,0
0.00025006251562890725,11996,2.5,35,0,22,30,10,7,7,18,0.5454545454545454,3,1,2.0,0
0.0007135212272565109,5605,2.25,38,1,7,32,8,8,1,24,0.7777777777777778,7,1,7.0,0
0.0006251953735542357,6397,2.25,26,0,1,24,6,6,1,20,0.14285714285714285,4,1,4.0,0
